	fname	Emotion_pos_mean	Emotion_neg_mean	Emotion_pos_series	Emotion_neg_series	fname	Char_pos_mean	Char_neg_mean	Char_pos_series	Char_neg_series	fname	Body_pos_mean	Body_neg_mean	Body_pos_series	Body_neg_series	fname	Attraction_mean	Attraction_series	fname	ME_series	ME_long	fname	HE_series	fname	CO_series
k00300002468	k00300002468§emotions_dataset.tsv	0.02211126961483595	0.01355206847360913	[3.3333333333333335, 1.0, 1.0, 1.3333333333333333, 1.0, 0.3333333333333333, 0.3333333333333333, 0.6666666666666666, 2.0, 1.0, 1.0, 2.0, 1.3333333333333333, 4.666666666666667, 1.0, 0.0, 0.0, 3.3333333333333335, 2.6666666666666665, 3.0]	[2.0, 0.0, 1.3333333333333333, 1.3333333333333333, 1.6666666666666667, 1.0, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 3.0, 0.0, 0.3333333333333333, 0.6666666666666666, 1.0, 0.3333333333333333, 0.0, 0.0, 1.3333333333333333, 3.0, 1.0]	k00300002468§character_dataset.tsv	0.009985734664764621	0.007845934379457917	[1.0, 0.6666666666666666, 0.0, 1.3333333333333333, 0.6666666666666666, 0.3333333333333333, 0.0, 0.3333333333333333, 0.6666666666666666, 0.3333333333333333, 0.3333333333333333, 0.6666666666666666, 1.0, 3.6666666666666665, 0.3333333333333333, 0.6666666666666666, 0.0, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666]	[0.3333333333333333, 0.0, 2.0, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.3333333333333333, 0.0, 0.3333333333333333, 1.0, 0.6666666666666666, 0.3333333333333333, 0.0, 0.6666666666666666, 0.0, 1.0, 0.0, 0.3333333333333333, 1.3333333333333333, 0.6666666666666666]	k00300002468§body_dataset.tsv	0.03732762719923918	0.0019020446980504042	[4.666666666666667, 0.0, 1.0, 2.6666666666666665, 1.3333333333333333, 0.0, 0.0, 1.0, 5.666666666666667, 1.3333333333333333, 4.333333333333333, 3.6666666666666665, 0.3333333333333333, 18.0, 2.6666666666666665, 2.3333333333333335, 0.0, 3.0, 0.0, 0.3333333333333333]	[0.0, 0.0, 0.0, 0.3333333333333333, 0.0, 0.0, 0.0, 0.0, 1.0, 0.3333333333333333, 0.3333333333333333, 0.0, 0.0, 0.3333333333333333, 0.0, 0.0, 0.0, 0.0, 0.0, 0.3333333333333333]	k00300002468§attraction_dataset.tsv	0.0920114122681883	[10.666666666666666, 0.6666666666666666, 2.6666666666666665, 7.333333333333333, 2.3333333333333335, 0.6666666666666666, 0.3333333333333333, 3.6666666666666665, 14.666666666666666, 3.6666666666666665, 12.0, 7.666666666666667, 2.6666666666666665, 38.333333333333336, 4.666666666666667, 4.0, 0.6666666666666666, 6.666666666666667, 2.3333333333333335, 3.3333333333333335]	k00300002468§ME.tsv	[0, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 0]	2	k00300002468§HE.tsv	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]	k00300002468§CO.tsv	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]
Heiß und heimlich$Kate Hoffmann$Baccara$Cora$[tiffany] Hoffmann, Kate & Rawlins, Debbi & Labrecque, Jennifer - Tiffany Exklusiv Band 30.txt	Heiß und heimlich$Kate Hoffmann$Baccara$Cora$[tiffany] Hoffmann, Kate & Rawlins, Debbi & Labrecque, Jennifer - Tiffany Exklusiv Band 30.txt§emotions_dataset.tsv	0.02026775753068055	0.014131647452584604	[0.0, 1.6666666666666667, 2.3333333333333335, 5.0, 0.6666666666666666, 1.0, 0.6666666666666666, 3.3333333333333335, 3.3333333333333335, 1.0, 0.3333333333333333, 2.6666666666666665, 2.6666666666666665, 0.6666666666666666, 0.6666666666666666, 4.666666666666667, 2.6666666666666665, 0.6666666666666666, 3.0, 0.5]	[0.3333333333333333, 2.0, 0.6666666666666666, 4.666666666666667, 0.6666666666666666, 0.0, 0.3333333333333333, 1.6666666666666667, 0.3333333333333333, 2.3333333333333335, 1.0, 0.3333333333333333, 1.3333333333333333, 2.6666666666666665, 1.6666666666666667, 1.0, 2.0, 2.0, 0.5, 0.0]	Heiß und heimlich$Kate Hoffmann$Baccara$Cora$[tiffany] Hoffmann, Kate & Rawlins, Debbi & Labrecque, Jennifer - Tiffany Exklusiv Band 30.txt§character_dataset.tsv	0.007437709185570844	0.009854964670881369	[0.0, 0.3333333333333333, 0.3333333333333333, 2.3333333333333335, 0.3333333333333333, 0.6666666666666666, 0.3333333333333333, 1.3333333333333333, 1.3333333333333333, 0.0, 0.3333333333333333, 0.6666666666666666, 1.6666666666666667, 0.0, 1.0, 1.6666666666666667, 1.0, 0.0, 0.0, 0.0]	[0.0, 1.3333333333333333, 0.3333333333333333, 3.3333333333333335, 0.6666666666666666, 0.3333333333333333, 1.0, 2.6666666666666665, 0.0, 0.0, 0.6666666666666666, 1.3333333333333333, 0.6666666666666666, 1.6666666666666667, 1.3333333333333333, 0.0, 1.0, 0.6666666666666666, 0.5, 0.5]	Heiß und heimlich$Kate Hoffmann$Baccara$Cora$[tiffany] Hoffmann, Kate & Rawlins, Debbi & Labrecque, Jennifer - Tiffany Exklusiv Band 30.txt§body_dataset.tsv	0.05708441799925623	0.0046485682409817776	[1.3333333333333333, 4.333333333333333, 6.0, 16.333333333333332, 0.6666666666666666, 4.333333333333333, 4.333333333333333, 5.666666666666667, 14.0, 1.6666666666666667, 1.0, 3.3333333333333335, 10.333333333333334, 0.6666666666666666, 4.666666666666667, 15.0, 7.0, 0.3333333333333333, 2.0, 0.0]	[0.0, 0.3333333333333333, 0.0, 1.0, 0.3333333333333333, 0.0, 1.0, 0.3333333333333333, 0.3333333333333333, 0.6666666666666666, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.6666666666666666, 0.6666666666666666, 0.3333333333333333, 0.6666666666666666, 0.0, 1.0, 0.5]	Heiß und heimlich$Kate Hoffmann$Baccara$Cora$[tiffany] Hoffmann, Kate & Rawlins, Debbi & Labrecque, Jennifer - Tiffany Exklusiv Band 30.txt§attraction_dataset.tsv	0.0991074748977315	[1.3333333333333333, 7.0, 9.666666666666666, 33.666666666666664, 1.0, 7.333333333333333, 3.0, 12.0, 25.333333333333332, 2.0, 1.0, 6.333333333333333, 17.0, 2.3333333333333335, 7.0, 27.0, 11.666666666666666, 0.6666666666666666, 3.0, 0.5]	Heiß und heimlich$Kate Hoffmann$Baccara$Cora$[tiffany] Hoffmann, Kate & Rawlins, Debbi & Labrecque, Jennifer - Tiffany Exklusiv Band 30.txt§ME.tsv	[0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0]	4	Heiß und heimlich$Kate Hoffmann$Baccara$Cora$[tiffany] Hoffmann, Kate & Rawlins, Debbi & Labrecque, Jennifer - Tiffany Exklusiv Band 30.txt§HE.tsv	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]	Heiß und heimlich$Kate Hoffmann$Baccara$Cora$[tiffany] Hoffmann, Kate & Rawlins, Debbi & Labrecque, Jennifer - Tiffany Exklusiv Band 30.txt§CO.tsv	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]
In jener Nacht gab ich dir alles$Sandra Heyden$Siliva Duett$Bastei$9783732510399.txt	In jener Nacht gab ich dir alles$Sandra Heyden$Siliva Duett$Bastei$9783732510399.txt§emotions_dataset.tsv	0.035069623517276945	0.030943785456420837	[0.3333333333333333, 1.0, 1.0, 0.0, 0.6666666666666666, 1.0, 0.0, 0.3333333333333333, 1.0, 0.6666666666666666, 0.0, 5.666666666666667, 0.5, 2.5, 1.0, 1.5, 5.0, 3.0, 0.0, 3.0]	[0.3333333333333333, 0.6666666666666666, 0.6666666666666666, 0.3333333333333333, 2.6666666666666665, 1.0, 1.3333333333333333, 1.3333333333333333, 2.0, 2.0, 0.0, 1.0, 0.0, 6.0, 1.0, 1.0, 2.0, 0.0, 0.0, 0.0]	In jener Nacht gab ich dir alles$Sandra Heyden$Siliva Duett$Bastei$9783732510399.txt§character_dataset.tsv	0.007735946364105209	0.035069623517276945	[0.0, 0.0, 0.0, 0.0, 0.3333333333333333, 0.0, 0.0, 0.0, 0.3333333333333333, 0.3333333333333333, 0.6666666666666666, 2.6666666666666665, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.5]	[0.0, 0.0, 1.3333333333333333, 0.3333333333333333, 2.3333333333333335, 2.0, 1.3333333333333333, 0.6666666666666666, 4.0, 3.0, 0.3333333333333333, 0.3333333333333333, 1.0, 4.0, 0.5, 0.5, 3.0, 1.0, 0.5, 0.0]	In jener Nacht gab ich dir alles$Sandra Heyden$Siliva Duett$Bastei$9783732510399.txt§body_dataset.tsv	0.029912325941206807	0.0030943785456420837	[0.6666666666666666, 1.3333333333333333, 0.6666666666666666, 0.0, 1.3333333333333333, 0.6666666666666666, 0.3333333333333333, 0.0, 1.3333333333333333, 1.3333333333333333, 3.0, 1.6666666666666667, 0.5, 2.5, 0.5, 0.0, 1.5, 4.5, 0.0, 1.0]	[0.3333333333333333, 0.0, 0.0, 0.0, 0.0, 0.3333333333333333, 0.0, 0.0, 0.3333333333333333, 0.0, 0.3333333333333333, 0.3333333333333333, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0]	In jener Nacht gab ich dir alles$Sandra Heyden$Siliva Duett$Bastei$9783732510399.txt§attraction_dataset.tsv	0.0407426508509541	[0.0, 0.6666666666666666, 0.6666666666666666, 0.0, 1.3333333333333333, 1.0, 0.3333333333333333, 0.3333333333333333, 1.0, 1.0, 4.666666666666667, 5.666666666666667, 0.5, 3.0, 0.0, 1.0, 1.5, 5.0, 1.0, 2.5]	In jener Nacht gab ich dir alles$Sandra Heyden$Siliva Duett$Bastei$9783732510399.txt§ME.tsv	[1, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0]	3	In jener Nacht gab ich dir alles$Sandra Heyden$Siliva Duett$Bastei$9783732510399.txt§HE.tsv	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]	In jener Nacht gab ich dir alles$Sandra Heyden$Siliva Duett$Bastei$9783732510399.txt§CO.tsv	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]
k00300002185	k00300002185§emotions_dataset.tsv	0.009389671361502348	0.02012072434607646	[0.0, 0.25, 0.5, 0.0, 0.0, 0.0, 2.0, 0.0, 0.25, 0.0, 1.25, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.0, 0.0, 0.6666666666666666, 0.0, 0.0, 2.0]	[0.0, 0.75, 0.0, 1.0, 0.0, 0.0, 1.25, 0.25, 2.25, 0.25, 1.75, 0.0, 0.3333333333333333, 0.0, 0.3333333333333333, 5.333333333333333, 2.0, 0.3333333333333333, 0.6666666666666666, 1.0]	k00300002185§character_dataset.tsv	0.006371562709590879	0.0026827632461435278	[0.25, 0.0, 0.5, 0.5, 0.25, 0.0, 0.75, 0.0, 0.0, 0.0, 0.25, 0.0, 0.6666666666666666, 0.0, 0.0, 0.6666666666666666, 0.0, 0.0, 0.3333333333333333, 1.3333333333333333]	[0.25, 0.5, 0.0, 0.25, 0.0, 0.5, 0.0, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	k00300002185§body_dataset.tsv	0.014419852448021462	0.002012072434607646	[0.75, 1.0, 1.5, 1.0, 0.25, 0.5, 0.5, 0.0, 0.0, 0.5, 1.75, 0.3333333333333333, 0.3333333333333333, 0.0, 0.6666666666666666, 0.6666666666666666, 0.0, 0.0, 0.0, 2.0]	[0.0, 0.0, 0.25, 0.0, 0.0, 0.25, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.3333333333333333, 0.0, 0.3333333333333333, 0.0, 0.0, 0.0]	k00300002185§attraction_dataset.tsv	0.018779342723004695	[0.5, 1.0, 0.75, 2.25, 0.5, 0.75, 1.5, 0.0, 1.0, 0.25, 0.75, 0.0, 0.0, 0.6666666666666666, 1.3333333333333333, 1.0, 1.0, 0.0, 0.0, 2.3333333333333335]	k00300002185§ME.tsv	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1]	5	k00300002185§HE.tsv	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]	k00300002185§CO.tsv	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]
k00300001151	k00300001151§emotions_dataset.tsv	0.010757409440175631	0.013391877058177827	[0.0, 0.0, 0.25, 0.0, 0.5, 0.75, 0.25, 0.0, 1.0, 0.25, 0.0, 1.0, 2.5, 0.25, 0.75, 0.5, 3.0, 1.3333333333333333, 0.6666666666666666, 0.6666666666666666]	[0.0, 0.75, 0.0, 1.75, 4.0, 1.0, 0.5, 0.5, 1.25, 0.25, 0.25, 0.5, 0.75, 0.25, 0.5, 0.75, 0.0, 2.0, 1.0, 0.0]	k00300001151§character_dataset.tsv	0.006147091108671789	0.006586169045005488	[0.0, 0.0, 0.0, 0.25, 0.75, 0.0, 1.25, 0.25, 0.5, 0.0, 0.5, 0.25, 1.75, 0.0, 0.25, 0.0, 0.6666666666666666, 0.6666666666666666, 0.3333333333333333, 0.0]	[0.0, 0.0, 0.25, 2.0, 0.75, 0.25, 0.5, 0.75, 0.75, 0.75, 0.5, 0.0, 0.0, 0.25, 0.0, 0.5, 0.0, 0.3333333333333333, 0.0, 0.0]	k00300001151§body_dataset.tsv	0.050493962678375415	0.002854006586169045	[0.25, 0.75, 1.5, 3.5, 6.75, 4.75, 7.5, 0.0, 5.0, 1.0, 0.75, 0.75, 12.75, 0.25, 2.0, 0.5, 6.666666666666667, 3.0, 1.3333333333333333, 1.6666666666666667]	[0.0, 0.0, 0.25, 0.75, 0.25, 0.0, 0.25, 0.0, 0.25, 0.5, 0.5, 0.0, 0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 0.3333333333333333, 0.0]	k00300001151§attraction_dataset.tsv	0.08474204171240395	[0.25, 0.25, 1.0, 2.5, 6.0, 7.0, 12.75, 0.75, 10.0, 2.75, 0.75, 2.25, 26.0, 1.25, 3.0, 1.25, 13.0, 7.0, 2.0, 3.0]	k00300001151§ME.tsv	[0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 1]	6	k00300001151§HE.tsv	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]	k00300001151§CO.tsv	[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
k00300002491	k00300002491§emotions_dataset.tsv	0.029650278763304613	0.018499746578813987	[0.16666666666666666, 1.1666666666666667, 3.8333333333333335, 0.6666666666666666, 0.6666666666666666, 1.5, 0.8333333333333334, 0.5, 0.3333333333333333, 0.5, 0.0, 0.3333333333333333, 1.2, 0.8, 0.6, 0.0, 0.4, 1.6, 1.8, 4.4]	[1.8333333333333333, 0.6666666666666666, 0.3333333333333333, 1.3333333333333333, 0.3333333333333333, 1.0, 0.3333333333333333, 1.1666666666666667, 0.6666666666666666, 0.8333333333333334, 0.8333333333333334, 0.16666666666666666, 0.8, 0.0, 0.8, 0.2, 0.0, 0.4, 0.4, 0.6]	k00300002491§character_dataset.tsv	0.013431322858590979	0.008616320324379118	[0.0, 1.0, 2.6666666666666665, 0.0, 0.16666666666666666, 0.3333333333333333, 2.0, 0.3333333333333333, 0.0, 0.3333333333333333, 0.0, 0.16666666666666666, 0.0, 0.0, 0.4, 0.0, 0.0, 0.0, 0.6, 1.2]	[0.5, 0.3333333333333333, 0.0, 0.8333333333333334, 0.5, 0.5, 0.16666666666666666, 0.3333333333333333, 0.0, 0.3333333333333333, 0.5, 0.16666666666666666, 0.0, 0.0, 1.0, 0.2, 0.0, 0.2, 0.2, 0.2]	k00300002491§body_dataset.tsv	0.024328433857070453	0.0010136847440446021	[0.0, 2.0, 6.166666666666667, 1.1666666666666667, 0.5, 0.6666666666666666, 2.3333333333333335, 0.5, 0.0, 0.0, 0.16666666666666666, 0.0, 0.6, 0.0, 0.0, 0.0, 0.0, 0.2, 0.0, 2.2]	[0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2, 0.0, 0.0, 0.0, 0.0, 0.0]	k00300002491§attraction_dataset.tsv	0.08565636087176888	[0.16666666666666666, 4.833333333333333, 16.333333333333332, 2.8333333333333335, 3.0, 3.6666666666666665, 8.333333333333334, 3.1666666666666665, 0.5, 0.5, 0.5, 0.3333333333333333, 1.6, 0.8, 1.6, 0.4, 0.0, 2.2, 1.6, 6.4]	k00300002491§ME.tsv	[0, 0, 0, 1, 1, 0, 1, 1, 1, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0]	2	k00300002491§HE.tsv	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]	k00300002491§CO.tsv	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]
Was ich nicht von dir wusste ...$Karen Sanders$Siliva Gold$Bastei$9783751745635.txt	Was ich nicht von dir wusste ...$Karen Sanders$Siliva Gold$Bastei$9783751745635.txt§emotions_dataset.tsv	0.023752969121140142	0.022169437846397466	[3.0, 1.0, 0.0, 0.3333333333333333, 0.0, 1.6666666666666667, 1.3333333333333333, 0.0, 3.0, 0.5, 1.5, 1.0, 1.0, 0.0, 0.5, 3.0, 1.5, 0.5, 4.5, 2.0]	[1.3333333333333333, 2.6666666666666665, 0.0, 0.0, 0.0, 4.0, 1.3333333333333333, 0.0, 1.0, 1.0, 0.0, 0.0, 0.5, 0.0, 4.0, 4.0, 0.5, 1.5, 0.5, 1.0]	Was ich nicht von dir wusste ...$Karen Sanders$Siliva Gold$Bastei$9783751745635.txt§character_dataset.tsv	0.013460015835312747	0.009897070467141725	[0.6666666666666666, 2.3333333333333335, 0.0, 0.3333333333333333, 0.0, 1.0, 0.0, 0.0, 1.5, 0.0, 1.0, 0.5, 1.0, 0.0, 1.5, 2.0, 0.5, 0.5, 0.5, 1.5]	[0.0, 3.3333333333333335, 1.0, 0.6666666666666666, 0.3333333333333333, 1.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 1.5, 1.0, 0.0, 0.0, 0.0, 0.0]	Was ich nicht von dir wusste ...$Karen Sanders$Siliva Gold$Bastei$9783751745635.txt§body_dataset.tsv	0.0384006334125099	0.0023752969121140144	[2.0, 10.666666666666666, 0.0, 1.0, 0.6666666666666666, 2.6666666666666665, 0.6666666666666666, 0.0, 3.5, 0.0, 0.5, 1.0, 1.0, 0.0, 2.0, 6.5, 4.0, 0.5, 1.5, 1.5]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.6666666666666666, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.5, 0.0, 0.5, 0.0, 0.0]	Was ich nicht von dir wusste ...$Karen Sanders$Siliva Gold$Bastei$9783751745635.txt§attraction_dataset.tsv	0.07759303246239113	[5.333333333333333, 13.666666666666666, 0.0, 1.6666666666666667, 1.0, 10.0, 0.0, 1.0, 9.0, 0.5, 4.5, 1.0, 3.5, 0.0, 4.0, 11.5, 7.0, 1.0, 2.5, 4.5]	Was ich nicht von dir wusste ...$Karen Sanders$Siliva Gold$Bastei$9783751745635.txt§ME.tsv	[0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 0]	3	Was ich nicht von dir wusste ...$Karen Sanders$Siliva Gold$Bastei$9783751745635.txt§HE.tsv	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]	Was ich nicht von dir wusste ...$Karen Sanders$Siliva Gold$Bastei$9783751745635.txt§CO.tsv	[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
k00300002073	k00300002073§emotions_dataset.tsv	0.038853262919652964	0.01735194266314598	[0.6, 0.8, 0.4, 1.2, 0.4, 0.8, 1.2, 1.0, 0.4, 2.6, 1.6, 0.2, 0.8, 0.6, 0.6, 0.0, 0.2, 2.0, 4.75, 1.75]	[0.2, 0.2, 1.4, 0.4, 0.6, 0.4, 0.4, 0.4, 0.4, 0.8, 0.2, 0.0, 0.2, 1.2, 0.8, 0.0, 0.4, 0.8, 0.5, 0.0]	k00300002073§character_dataset.tsv	0.01093926820067899	0.005658242172764994	[0.0, 0.2, 0.6, 0.4, 0.2, 0.4, 0.4, 0.4, 0.4, 0.6, 0.0, 0.0, 0.4, 0.4, 0.2, 0.0, 0.2, 0.2, 0.75, 0.25]	[0.4, 0.2, 0.2, 0.0, 0.2, 0.2, 0.0, 0.2, 0.2, 0.0, 0.0, 0.0, 0.0, 0.2, 0.2, 0.0, 0.2, 0.2, 0.75, 0.0]	k00300002073§body_dataset.tsv	0.027536778574122973	0.003017729158807997	[1.2, 1.4, 1.2, 0.6, 0.2, 0.0, 0.2, 1.0, 2.0, 1.2, 1.0, 0.0, 0.2, 0.6, 0.4, 0.0, 0.6, 1.2, 1.75, 0.25]	[0.0, 0.0, 0.2, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2, 0.0, 0.0, 0.0, 0.0, 0.4, 0.0, 0.0, 0.4, 0.5, 0.0]	k00300002073§attraction_dataset.tsv	0.044134288947566956	[0.6, 1.2, 1.0, 0.6, 0.6, 0.2, 1.0, 1.0, 2.0, 3.2, 1.2, 0.0, 0.6, 0.2, 1.2, 0.2, 0.8, 3.8, 3.25, 1.75]	k00300002073§ME.tsv	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	6	k00300002073§HE.tsv	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]	k00300002073§CO.tsv	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]
k00300002179	k00300002179§emotions_dataset.tsv	0.01394083645018701	0.015980958857531452	[0.75, 0.0, 1.25, 1.5, 0.0, 0.6666666666666666, 0.6666666666666666, 1.0, 0.6666666666666666, 0.0, 0.0, 0.0, 0.3333333333333333, 1.0, 0.6666666666666666, 0.0, 0.3333333333333333, 0.0, 0.6666666666666666, 3.0]	[0.5, 0.0, 0.25, 0.75, 0.25, 1.3333333333333333, 0.3333333333333333, 0.6666666666666666, 1.6666666666666667, 0.0, 0.0, 0.6666666666666666, 0.0, 0.0, 1.0, 1.3333333333333333, 2.3333333333333335, 1.3333333333333333, 0.3333333333333333, 2.3333333333333335]	k00300002179§character_dataset.tsv	0.003740224413464808	0.004080244814688882	[0.75, 0.0, 0.25, 0.5, 0.0, 0.0, 0.0, 0.0, 0.6666666666666666, 0.0, 0.3333333333333333, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.6666666666666666]	[0.5, 0.0, 0.0, 0.25, 0.5, 1.0, 0.0, 0.3333333333333333, 0.0, 0.0, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	k00300002179§body_dataset.tsv	0.012240734444066644	0.0017001020061203672	[1.75, 0.25, 2.0, 0.75, 0.25, 0.6666666666666666, 0.3333333333333333, 0.3333333333333333, 1.6666666666666667, 0.0, 0.6666666666666666, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6666666666666667]	[0.5, 0.0, 0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.3333333333333333, 0.3333333333333333, 0.0, 0.0, 0.0, 0.0]	k00300002179§attraction_dataset.tsv	0.021421285277116626	[1.25, 0.0, 2.0, 2.25, 0.5, 2.0, 0.3333333333333333, 1.0, 2.0, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.0, 1.0, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.0, 0.0, 3.6666666666666665]	k00300002179§ME.tsv	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	4	k00300002179§HE.tsv	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]	k00300002179§CO.tsv	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]
k00300002025	k00300002025§emotions_dataset.tsv	0.015570934256055362	0.02897923875432526	[0.4, 0.0, 0.4, 0.6, 0.2, 0.4, 0.0, 0.0, 0.4, 0.2, 0.0, 0.0, 0.0, 0.0, 1.6, 1.4, 1.0, 0.5, 0.25, 0.25]	[0.0, 0.0, 0.6, 0.6, 0.6, 0.4, 1.2, 0.8, 2.4, 2.8, 0.8, 0.4, 1.4, 1.0, 0.0, 0.0, 0.25, 0.25, 0.0, 0.0]	k00300002025§character_dataset.tsv	0.008217993079584774	0.020761245674740483	[0.2, 0.4, 0.4, 0.4, 0.0, 0.8, 0.0, 0.4, 0.2, 0.0, 0.0, 0.0, 0.2, 0.2, 0.2, 0.0, 0.0, 0.25, 0.0, 0.25]	[0.0, 0.0, 0.2, 0.0, 1.6, 0.2, 1.4, 0.4, 1.2, 1.0, 0.0, 0.6, 0.8, 0.8, 0.0, 0.8, 0.5, 0.0, 0.0, 0.25]	k00300002025§body_dataset.tsv	0.009515570934256055	0.004757785467128028	[0.0, 0.2, 1.6, 0.4, 0.2, 0.2, 0.2, 0.4, 0.0, 0.0, 0.0, 0.0, 0.0, 0.6, 0.2, 0.0, 0.0, 0.5, 0.0, 0.0]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4, 0.2, 0.2, 0.0, 0.6, 0.4, 0.2, 0.2, 0.0, 0.0, 0.0, 0.0]	k00300002025§attraction_dataset.tsv	0.012543252595155709	[0.0, 0.0, 1.4, 1.2, 0.2, 0.6, 0.4, 0.0, 0.0, 0.0, 0.0, 0.2, 0.2, 0.2, 0.8, 0.4, 0.25, 0.0, 0.0, 0.0]	k00300002025§ME.tsv	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1]	5	k00300002025§HE.tsv	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]	k00300002025§CO.tsv	[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
